Date,Country,Location,Region,Operator,Wireline Company,Well,Mud,Open Hole /Cased Hole,Bit size / Csg size [inches],Depth [m],Temperature (degC),Deviation,Dif. Pressure [psi],DLS          [deg/30m],Main Application,Toolstring,Probe/Coring Bit Orientation,System,Jar included in the Toolstring,Successful ,Unsuccessful - Downhole Conditions,Unsuccessful - Wrong Setup,Jar Activation,Remarks,Hole Size Group,Depth Group,Temperature Group,Deviation Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-19,Vietnam,Vungtau,APAC,Myrphy,SLB,LDT-1X,WBM,OH,8.5,3800,175,55,,,Ledges,FMI,,Wireline Express,NO,0,Hung-Up - Bridge,0,N/A,Attempt again without Sonic. Got hold up 5m deeper. ,8-10,2000m-4000m,>150degC,50-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-19,Vietnam,Vungtau,APAC,Myrphy,SLB,LDT-1X,WBM,OH,8.5,3800,175,55,,,Ledges,FMI (no guide),,Wireline Express,NO,0,Hung-Up - Washout/Ledge,0,N/A,"Run with no guide. Got hold up 50m higher, at very top of washed out section. ",8-10,2000m-4000m,>150degC,50-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-19,Vietnam,Vungtau,APAC,Myrphy,SLB,LDT-1X,WBM,OH,8.5,3800,175,55,,,Ledges,MDT,Probe-UP,Wireline Express,NO,0,Hung-Up - Washout/Ledge,0,N/A,"Got hold up at bottom of whashout section 200m above TD. Suggested to attempt with AHFC set at 9deg to pass up to 23"" ledge. ",8-10,2000m-4000m,>150degC,50-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-19,Iraq,Erbil,MEA,Taqa,SLB,CK-11,WBM,CH,9.625,2450,,73,,,Deviation,CBL-VDL,,Wireline Express,NO,1,0,0,N/A,Successfully navigated to TD,8-10,2000m-4000m,<110,70-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-19,Egypt,Cairo,MEA,APACHE,SLB,Buchis Far West 1X,WBM,OH,12.25,4750,,35,,,Ledges,HRLA-APS-TLD,,Wireline Express,NO,1,0,0,N/A,Stopped 80 ft short of TD. Due to hole filling,12-14,4000m-6000m,<110,30-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-19,Egypt,Cairo,MEA,APACHE,SLB,Buchis Far West 1X,WBM,OH,12.25,4750,,35,,,Ledges,APS-TLD,,Wireline Express,NO,1,0,0,N/A,Rerun to get deeper first readings on density-porosity,12-14,4000m-6000m,<110,30-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-19,Trinidad & Tobago,San Fernando,LAM,BHP,SLB,Bele-1,SOBM,OH,12.25,3696,,27.3,,,Ledges,XL-ROCK,Bit-DOWN (30 deg),Wireline Express,YES,1,0,0,NO,Sucessfully navigated to TD with no issues,12-14,2000m-4000m,<110,20-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-19,Trinidad & Tobago,San Fernando,LAM,BHP,SLB,Tuk-1,SOBM,OH,8.5,4516,,31,,,Stick-slip,ECS-PEX-HNGS-CMR,,Wireline Express,YES,1,0,0,NO,Successfully navigated to TD.  Due to high debris CMR data was affected. An attempt with backup CMR was requested by the client.,8-10,4000m-6000m,<110,30-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-19,Trinidad & Tobago,San Fernando,LAM,BHP,SLB,Tuk-1,SOBM,OH,8.5,4516,,31,,,Stick-slip,ECS-PEX-HNGS-CMR,,Wireline Express,YES,1,0,0,NO,Successfully navigated to TD.  CMR response was the same as previous run.,8-10,4000m-6000m,<110,30-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-19,Trinidad & Tobago,San Fernando,LAM,BHP,SLB,Tuk-1,SOBM,OH,8.5,4516,,31,600,,Differential sticking,MDT,Probe-UP,Wireline Express,YES,1,0,0,NO,"42 pretests attempted (1 lost seals), 5 sample stations, 700 psi Dif. Press, no overpulls",8-10,4000m-6000m,<110,30-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-19,Trinidad & Tobago,San Fernando,LAM,BHP,SLB,Tuk-1,SOBM,OH,8.5,4516,,31,,,Sensor orientation,XL-Rock,Bit-HORIZONTAL (90 deg),Wireline Express,YES,1,0,0,NO,Coring bit oriented 90 degrees from low-side. 75 cores attempted/ 64 cores recovered (85%),8-10,4000m-6000m,<110,30-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-19,Iraq,Erbil,MEA,Crescent,SLB,KM-10,WBM,OH,8.5,2500,,12,,,Differential sticking,PEX-PPC,,Wireline Express,NO,1,0,0,N/A,,8-10,2000m-4000m,<110,10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-19,Colombia,Bogota,LAM,Frontera,SLB,Castana-1,WBM,OH,8.5,2734,,44,,,Ledges,HRLA-MSIP-PEX,,Wireline Express,NO,0,Hung-Up - Bridge,0,N/A,Could not pass 1942 m.  Thight spot while drilling.  SLB was asked to POOH to conduct a wiper trip. Drilling string got hold up and then stuck at same depth. Orientation achieved successfully @ 5 deg and maintained all of the time. ,8-10,2000m-4000m,<110,40-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-19,UK,Aberdeen,EUR,Total,BHI,Culzean C5,SOBM,OH,8.5,5414,,31,,,Sensor orientation,FTEX,,Wireline Express,,0,Hung-Up - Bridge,0,,Tool stopped coming out of rat-hole due to cement blocks. Tool was oriented correctly,8-10,4000m-6000m,<110,30-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-19,Iraq,Erbil,MEA,TTOPCO,SLB,TT-33,WBM,OH,8.5,2365,,58,,,Deviation,FMI-SonicScanner,,Wireline Express,NO,1,0,0,N/A,,8-10,2000m-4000m,<110,50-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-19,Iraq,Erbil,MEA,TTOPCO,SLB,TT-33,WBM,OH,8.5,2365,,58,,,Deviation,DLL-MSFL (HRLA-TLD),,Wireline Express,NO,1,0,0,N/A,,8-10,2000m-4000m,<110,50-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-19,USA,Larose,NAM,TALOS,SLB,A010,SOBM,OH,9.875,4863,,49,,,Sensor orientation,PEX-HXPT,Probe-DOWN,Wireline Express,,1,0,0,,Successfully navigated to TD. HXPT oriented to the Low-Side of the hole,8-10,4000m-6000m,<110,40-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-19,Trinidad & Tobago,San Fernando,LAM,BHP,SLB,Tuk-1,SOBM,OH,12.25,4092,,30.7,,,Ledges,ECS-PEX-HNGS-CMR,,Wireline Express,YES,1,0,0,NO,Sucessfully navigated to TD. Max tension was 6320 lbs. No overpulls.,12-14,4000m-6000m,<110,30-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-19,Trinidad & Tobago,San Fernando,LAM,BHP,SLB,Tuk-1,SOBM,OH,12.25,4092,,30.7,400,,Ledges,MDT Sampling,Probe-DOWN,Wireline Express,YES,1,0,0,NO,Sucessfully navigated to TD. 19 Pretests attempted (no lost seals). 5 sample stations. Max tension was 8650 lbs. No overpulls. 400 psi differential pressure.,12-14,4000m-6000m,<110,30-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-19,Trinidad & Tobago,San Fernando,LAM,BHP,SLB,Tuk-1,SOBM,OH,12.25,4092,,30.7,,,Ledges,XL-Rock,Bit-DOWN (30 deg),Wireline Express,YES,1,0,0,NO,"Sucessfully navigated to TD.  Cut at 30 deg from low side. Recovery rate 26/40 (65%). Low recovery in friable sands, as seen in previous wells. Max tension was 5950 lbs. No overpulls.",12-14,4000m-6000m,<110,30-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
